p1	p2	interaction
P33947	P84085	catalysis
P84085	P56377	binding
P56377	P84085	binding
O15155	P84085	reaction
O00443	P84085	reaction
P84085	Q9UBF8	reaction
P84085	P61923	reaction
P61923	P84085	reaction
P84085	Q13459	catalysis
P84085	O75061	reaction
O75061	P84085	reaction
P84085	Q8N6H7	binding
Q8N6H7	P84085	binding
Q9P299	P84085	reaction
Q9BRL7	P84085	reaction
P51809	P84085	reaction
P84085	P32019	binding
P32019	P84085	binding
P84085	Q3SXY8	binding
Q3SXY8	P84085	binding
Q9NYM9	P84085	catalysis
P61966	P84085	reaction
O43731	P84085	reaction
Q9Y6B7	P84085	reaction
P84085	Q9H082	binding
Q9H082	P84085	binding
P84085	Q10567	reaction
P84085	Q96PC3	reaction
Q96PC3	P84085	reaction
P62820	P84085	catalysis
P84085	Q04912	activation
Q04912	P84085	activation
P84085	O43150	reaction
Q8N8A2	P84085	reaction
P84085	P63027	binding
P63027	P84085	binding
P35606	P84085	reaction
P84085	Q8NFJ9	reaction
P84085	Q86YS6	catalysis
Q13367	P84085	reaction
P84085	P62330	binding
P62330	P84085	binding
P84085	O75379	reaction
Q3YEC7	P84085	catalysis
P61020	P84085	reaction
O43739	P84085	reaction
P84085	Q9BXS5	reaction
P84085	Q92930	reaction
P62491	P84085	reaction
P84085	Q9NP61	binding
Q9NP61	P84085	binding
P84085	Q13813	reaction
P84085	Q0VAM2	catalysis
P84085	Q9UPM8	reaction
P84085	P16157	reaction
P16157	P84085	reaction
O14976	P84085	reaction
P84085	P53618	catalysis
P84085	Q9Y6D6	reaction
P84085	O60763	catalysis
P53675	P84085	reaction
P84085	O75396	binding
O75396	P84085	binding
P84085	O15498	reaction
O15498	P84085	reaction
P84085	Q9UBF2	reaction
Q9UBF2	P84085	reaction
P84085	Q96IW7	reaction
P84085	O95466	binding
O95466	P84085	binding
P59780	P84085	reaction
P84085	Q6XZF7	binding
Q6XZF7	P84085	binding
P84085	Q15438	activation
Q15438	P84085	activation
P53621	P84085	catalysis
P84085	Q9Y678	reaction
Q9Y678	P84085	reaction
O75154	P84085	reaction
P84085	Q01082	binding
Q01082	P84085	binding
P84085	Q92572	binding
Q92572	P84085	binding
P84085	O00203	binding
O00203	P84085	binding
P15328	P84085	reaction
P84085	Q96LW2	binding
Q96LW2	P84085	binding
P84085	P84077	catalysis
P84085	O43747	reaction
P84085	A4D1S5	catalysis
P84085	O00750	reaction
O00750	P84085	reaction
Q8TDY4	P84085	reaction
P23763	P84085	reaction
P84085	Q8N6T3	binding
Q8N6T3	P84085	binding
P84085	Q9Y6Q5	binding
Q9Y6Q5	P84085	binding
P84085	Q9H0R1	reaction
Q9H0R1	P84085	reaction
